protocol,num_tcp_conn,location,radio_type,run_num,seq_num,Throughput,rtt_in_ms
TCP,16.0,C,5G,88,20,1177.7589706039,80.1190625
TCP,16.0,C,5G,88,21,1131.17829554855,94.40525
TCP,16.0,C,5G,88,22,1136.61621679687,92.6600625
TCP,16.0,C,5G,88,23,1186.6171725271402,112.246875
TCP,16.0,C,5G,88,24,1129.10425269541,153.634375
TCP,16.0,C,5G,88,25,1112.65355522348,132.5956875
TCP,16.0,C,5G,88,26,1149.4005453874902,160.5995
TCP,16.0,C,5G,88,27,1042.00820031119,208.12975
TCP,16.0,C,5G,88,28,1069.0643777430198,116.6919375
TCP,16.0,C,5G,88,29,1037.75001743346,131.8544375
TCP,16.0,C,5G,88,30,1026.75833804032,147.385875
TCP,16.0,C,5G,88,31,1080.2936529139301,132.1650625
TCP,16.0,C,5G,88,32,1121.68286147442,150.8128125
TCP,16.0,C,5G,88,33,1121.97283475238,150.5654375
TCP,16.0,C,5G,88,34,922.182160122634,135.9836875
TCP,16.0,C,5G,88,35,954.03116369612,135.2036875
TCP,16.0,C,5G,88,36,1027.43816651824,90.9985625
TCP,16.0,C,5G,88,37,1153.2706612658098,89.8535625
TCP,16.0,C,5G,88,38,1142.9170483295698,76.9785625
TCP,16.0,C,5G,88,39,1132.19913288523,97.6896875
TCP,16.0,C,5G,88,40,1184.64015023911,101.979625
TCP,16.0,C,5G,88,41,1121.63121878481,114.217375
TCP,16.0,C,5G,88,42,1131.95096808096,90.0821875
TCP,16.0,C,5G,88,43,1037.99081014531,97.127625
TCP,16.0,C,5G,88,44,1048.3463956206401,76.8488125
TCP,16.0,C,5G,88,45,1247.46401486066,98.74675
TCP,16.0,C,5G,88,46,1142.69251877834,85.5916875
TCP,16.0,C,5G,88,47,1174.0745593695099,99.009625
TCP,16.0,C,5G,88,48,1090.40489452991,115.5345
TCP,16.0,C,5G,88,49,880.8013200072099,135.125375
TCP,16.0,C,5G,88,50,1058.84809876182,113.171125
TCP,16.0,C,5G,88,51,1100.8163537740402,83.6828125
TCP,16.0,C,5G,88,52,1132.2316460992802,120.459125
TCP,16.0,C,5G,88,53,1111.16120397918,117.550625
TCP,16.0,C,5G,88,54,1194.90081382362,115.7146875
TCP,16.0,C,5G,88,55,1194.3411214077698,132.2995
TCP,16.0,C,5G,88,56,1174.9850093772,128.7431875
TCP,16.0,C,5G,88,57,1100.75756196948,152.5879375
TCP,16.0,C,5G,88,58,1153.23239155696,161.6346875
TCP,16.0,C,5G,88,59,1226.54630391449,150.7999375
TCP,16.0,C,5G,88,60,1131.07014825065,150.6101875


